"date","incidence"
2020-08-12,5
2020-08-13,27
2020-08-14,30
2020-08-15,25
2020-08-16,15
2020-08-17,1
2020-08-18,1
2020-08-19,4
2020-08-20,4
2020-08-21,5
2020-08-22,2
2020-08-23,2
2020-08-24,3
2020-08-25,0
2020-08-26,3
2020-08-27,5
2020-08-28,2
2020-08-29,4
2020-08-30,0
2020-08-31,4
2020-09-01,3
2020-09-02,2
2020-09-03,10
2020-09-04,4
2020-09-05,5
2020-09-06,8
2020-09-07,11
2020-09-08,7
2020-09-09,1
2020-09-10,5
2020-09-11,13
2020-09-12,20
2020-09-13,15
2020-09-14,8
2020-09-15,10
2020-09-16,9
2020-09-17,7
2020-09-18,19
2020-09-19,11
2020-09-20,20
2020-09-21,7
2020-09-22,10
2020-09-23,6
2020-09-24,5
2020-09-25,9
2020-09-26,19
2020-09-27,15
2020-09-28,14
2020-09-29,7
2020-09-30,14
2020-10-01,14
2020-10-02,13
2020-10-03,14
2020-10-04,5
2020-10-05,9
2020-10-06,16
2020-10-07,10
2020-10-08,18
2020-10-09,22
2020-10-10,34
2020-10-11,24
2020-10-12,48
2020-10-13,34
2020-10-14,25
2020-10-15,31
2020-10-16,40
2020-10-17,35
2020-10-18,24
2020-10-19,66
2020-10-20,45
2020-10-21,57
2020-10-22,62
2020-10-23,33
2020-10-24,78
2020-10-25,60
2020-10-26,54
2020-10-27,58
2020-10-28,67
2020-10-29,82
2020-10-30,76
2020-10-31,78
2020-11-01,74
2020-11-02,73
2020-11-03,82
2020-11-04,36
2020-11-05,129
2020-11-06,86
2020-11-07,116
2020-11-08,159
2020-11-09,191
2020-11-10,127
2020-11-11,112
2020-11-12,106
2020-11-13,81
2020-11-14,305
2020-11-15,181
2020-11-16,181
2020-11-17,240
2020-11-18,131
2020-11-19,98
2020-11-20,147
2020-11-21,439
2020-11-22,237
2020-11-23,235
2020-11-24,177
2020-11-25,165
2020-11-26,314
2020-11-27,327
2020-11-28,196
2020-11-29,352
2020-11-30,324
2020-12-01,181
2020-12-02,236
2020-12-03,260
2020-12-04,284
2020-12-05,202
2020-12-06,416
2020-12-07,274
2020-12-08,182
2020-12-09,301
2020-12-10,323
2020-12-11,245
2020-12-12,274
2020-12-13,220
2020-12-14,268
2020-12-15,194
2020-12-16,170
2020-12-17,239
2020-12-18,246
2020-12-19,252
2020-12-20,226
2020-12-21,206
2020-12-22,182
2020-12-23,160
2020-12-24,155
2020-12-25,0
2020-12-26,2
2020-12-27,554
2020-12-28,1
2020-12-29,206
2020-12-30,147
2020-12-31,192
2021-01-01,1
2021-01-02,486
2021-01-03,238
2021-01-04,286
2021-01-05,154
2021-01-06,277
2021-01-07,335
2021-01-08,337
2021-01-09,330
2021-01-10,2
2021-01-11,720
2021-01-12,247
2021-01-13,247
2021-01-14,313
2021-01-15,382
2021-01-16,272
2021-01-17,290
2021-01-18,286
2021-01-19,308
2021-01-20,234
2021-01-21,223
2021-01-22,314
2021-01-23,275
2021-01-24,260
2021-01-25,239
2021-01-26,233
2021-01-27,149
2021-01-28,246
2021-01-29,330
2021-01-30,258
2021-01-31,238
2021-02-01,147
2021-02-02,224
2021-02-03,194
2021-02-04,247
2021-02-05,268
2021-02-06,265
2021-02-07,194
2021-02-08,167
2021-02-09,78
2021-02-10,180
2021-02-11,114
2021-02-12,197
2021-02-13,244
2021-02-14,161
2021-02-15,1
2021-02-16,279
2021-02-17,124
2021-02-18,146
2021-02-19,148
2021-02-20,192
2021-02-21,183
2021-02-22,177
2021-02-23,123
2021-02-24,56
2021-02-25,212
2021-02-26,153
2021-02-27,162
2021-02-28,141
2021-03-01,154
2021-03-02,134
2021-03-03,121
2021-03-04,169
2021-03-05,209
2021-03-06,163
2021-03-07,117
2021-03-08,97
2021-03-09,113
2021-03-10,113
2021-03-11,165
2021-03-12,177
2021-03-13,151
2021-03-14,97
2021-03-15,110
2021-03-16,156
2021-03-17,88
2021-03-18,116
2021-03-19,175
2021-03-20,200
2021-03-21,179
2021-03-22,204
2021-03-23,150
2021-03-24,189
2021-03-25,169
2021-03-26,214
2021-03-27,224
2021-03-28,250
2021-03-29,205
2021-03-30,164
2021-03-31,191
2021-04-01,199
2021-04-02,257
2021-04-03,282
2021-04-04,222
2021-04-05,220
2021-04-06,218
2021-04-07,189
2021-04-08,207
2021-04-09,359
2021-04-10,236
2021-04-11,317
2021-04-12,300
2021-04-13,288
2021-04-14,194
2021-04-15,293
2021-04-16,229
2021-04-17,248
2021-04-18,290
2021-04-19,244
2021-04-20,256
2021-04-21,233
2021-04-22,256
2021-04-23,261
2021-04-24,287
2021-04-25,249
2021-04-26,245
2021-04-27,224
2021-04-28,213
2021-04-29,205
2021-04-30,264
2021-05-01,261
2021-05-02,238
2021-05-03,207
