Code,Census subdivision,Type
2462080Saint-Zénon,Saint-Zénon,Municipalité
2450090Saint-Zéphirin-de-Courval,Saint-Zéphirin-de-Courval,Paroisse (municipalité de)
1307024Salisbury,Salisbury,Parish
4705078Saltcoats,Saltcoats,Town
4813016Sandy Beach,Sandy Beach,Summer village
4706072Saskatchewan Beach,Saskatchewan Beach,Resort village
4708038Saskatchewan Landing No. 167,Saskatchewan Landing No. 167,Rural municipality
2441080Scotstown,Scotstown,Ville
2426048Scott,Scott,Municipalité
4702069Scott No. 98,Scott No. 98,Rural municipality
3518020Scugog,Scugog,Township
4706008Sedley,Sedley,Village
3543015Severn,Severn,Township
4819014Sexsmith,Sexsmith,Town
1307016Shediac,Shediac,Parish
1307052Shediac,Shediac,Town
2484095Sheenboro,Sheenboro,Municipalité
1303014Sheffield,Sheffield,Parish
2447035Shefford,Shefford,Canton (municipalité de)
3522021Shelburne,Shelburne,Town
1103018Sherbrooke,Sherbrooke,Community
5909881Skweahm 10,Skweahm 10,Indian reserve
3501005South Glengarry,South Glengarry,Township
4706034South Qu'Appelle No. 157,South Qu'Appelle No. 157,Rural municipality
1001434South River,South River,Town
4706092Southey,Southey,Town
3539005Southwest Middlesex,Southwest Middlesex,Municipality
3532012South-West Oxford,South-West Oxford,Township
3557039Spanish,Spanish,Town
5931021Squamish-Lillooet D,Squamish-Lillooet D,Regional district electoral area
4613043St. Andrews,St. Andrews,Rural municipality
3557008St. Joseph,St. Joseph,Township
4715059St. Louis,St. Louis,Village
3531016St. Marys,St. Marys,Town
1101044St. Peters Bay,St. Peters Bay,Community
1001169St. Vincent's-St. Stephen's-Peter's River,St. Vincent's-St. Stephen's-Peter's River,Town
3552004St.-Charles,St.-Charles,Municipality
4805021Standard,Standard,Village
1310036Stanley,Stanley,Parish
1310037Stanley,Stanley,Village
2445025Stanstead,Stanstead,Canton (municipalité de)
4803024Stavely,Stavely,Town
4602057Ste. Anne,Ste. Anne,Rural municipality
4602061Ste. Anne,Ste. Anne,Town
1210002Stewiacke,Stewiacke,Town
4802009Stirling,Stirling,Village
3511030Stone Mills,Stone Mills,Township
4614039Stonewall,Stonewall,Town
4602037St-Pierre-Jolys,St-Pierre-Jolys,Village
2430110Stratford,Stratford,Canton (municipalité de)
2445105Stukely-Sud,Stukely-Sud,Village
"3552093Sudbury, Unorganized, North Part","Sudbury, Unorganized, North Part",Unorganized
5907035Summerland,Summerland,District municipality
4813017Sunrise Beach,Sunrise Beach,Summer village
4813011Sunset Point,Sunset Point,Summer village
2446058Sutton,Sutton,Ville
4712833Sweet Grass 113,Sweet Grass 113,Indian reserve
3557014Tarbutt and Tarbutt Additional,Tarbutt and Tarbutt Additional,Township
1002036Terrenceville,Terrenceville,Town
4614042Teulon,Teulon,Town
3542045The Blue Mountains,The Blue Mountains,Town
3560089The Dalles 38C,The Dalles 38C,Indian reserve
3502025The Nation,The Nation,Municipality
3557040The North Shore,The North Shore,Township
4709028Theodore,Theodore,Village
5933060Thompson-Nicola L (Grasslands),Thompson-Nicola L (Grasslands),Regional district electoral area
5933072Thompson-Nicola O (Lower North Thompson),Thompson-Nicola O (Lower North Thompson),Regional district electoral area
"3558090Thunder Bay, Unorganized","Thunder Bay, Unorganized",Unorganized
3543068Tiny,Tiny,Township
4810018Tofield,Tofield,Town
4702002Torquay,Torquay,Village
3515044Trent Lakes,Trent Lakes,Municipality
2471125Très-Saint-Rédempteur,Très-Saint-Rédempteur,Municipalité
2435055Trois-Rives,Trois-Rives,Municipalité
3512048Tudor and Cashel,Tudor and Cashel,Township
4806009Turner Valley,Turner Valley,Town
3512030Tweed,Tweed,Municipality
3512004Tyendinaga Mohawk Territory,Tyendinaga Mohawk Territory,Indian reserve
2442078Ulverton,Ulverton,Municipalité
1309027Upper Miramichi,Upper Miramichi,Rural community
2456005Venise-en-Québec,Venise-en-Québec,Municipalité
4810036Vermilion River County,Vermilion River County,Municipal district
4706007Vibank,Vibank,Village
4601078Victoria Beach,Victoria Beach,Rural municipality
2432085Villeroy,Villeroy,Municipalité
4812024Vilna,Vilna,Village
4715017Vonda,Vonda,Town
1001494Wabana,Wabana,Town
4707022Waldeck,Waldeck,Village
4709006Wallace No. 243,Wallace No. 243,Rural municipality
2484070Waltham,Waltham,Municipalité
2447030Warden,Warden,Village
2439077Warwick,Warwick,Ville
3538043Warwick,Warwick,Township
4708008Webb,Webb,Village
1308014Weldford,Weldford,Parish
3530027Wellesley,Wellesley,Township
1308004Wellington,Wellington,Parish
4702073Wellington No. 97,Wellington No. 97,Rural municipality
4819011Wembley,Wembley,Town
2476035Wentworth,Wentworth,Canton (municipalité de)
2477060Wentworth-Nord,Wentworth-Nord,Municipalité
3534042West Elgin,West Elgin,Municipality
1208001West Hants,West Hants,Municipal district
3526021West Lincoln,West Lincoln,Township
4811001Wetaskiwin County No. 10,Wetaskiwin County No. 10,Municipal district
4702044Weyburn No. 67,Weyburn No. 67,Rural municipality
4805012Wheatland County,Wheatland County,Municipal district
4707032Wheatlands No. 163,Wheatlands No. 163,Rural municipality
3547056Whitewater Region,Whitewater Region,Township
4706014Wilcox,Wilcox,Village
5941812Williams Lake 1,Williams Lake 1,Indian reserve
2442088Windsor,Windsor,Ville
1207024Wolfville,Wolfville,Town
3512054Wollaston,Wollaston,Township
4614031Woodlands,Woodlands,Rural municipality
2453072Yamaska,Yamaska,Municipalité
4702072Yellow Grass,Yellow Grass,Town
1005035York Harbour,York Harbour,Town
3532027Zorra,Zorra,Township
