pruid,week_end,PROV_vaxx_AL1D,PROV_vaxx_FULL,province
12,2021-03-06,50022,28866,Nova Scotia
12,2021-03-13,63928,32226,Nova Scotia
12,2021-03-20,81640,40200,Nova Scotia
12,2021-03-27,129362,48588,Nova Scotia
12,2021-04-03,167592,59062,Nova Scotia
12,2021-04-10,233636,62238,Nova Scotia
12,2021-04-17,347772,64964,Nova Scotia
12,2021-04-24,477132,69630,Nova Scotia
12,2021-05-01,567624,73198,Nova Scotia
12,2021-05-08,652278,75398,Nova Scotia
12,2021-05-15,777022,78410,Nova Scotia
12,2021-05-22,921896,82906,Nova Scotia
12,2021-05-29,1075736,86922,Nova Scotia
12,2021-06-05,1181810,89088,Nova Scotia
12,2021-06-12,1289336,101726,Nova Scotia
12,2021-06-19,1374712,165452,Nova Scotia
12,2021-06-26,1396618,336482,Nova Scotia
12,2021-07-03,1406110,553860,Nova Scotia
12,2021-07-10,1422614,786900,Nova Scotia
12,2021-07-17,1449894,970424,Nova Scotia
12,2021-07-24,1457342,1113004,Nova Scotia
12,2021-07-31,1472948,1234758,Nova Scotia
12,2021-08-07,1488194,1298982,Nova Scotia
12,2021-08-14,1495302,1323376,Nova Scotia
12,2021-08-21,1500208,1347910,Nova Scotia
12,2021-08-28,1510790,1375196,Nova Scotia
12,2021-09-04,1517548,1390342,Nova Scotia
12,2021-09-11,1528180,1408888,Nova Scotia
12,2021-09-18,1543064,1427678,Nova Scotia
12,2021-09-25,1556716,1443578,Nova Scotia
12,2021-10-02,1569866,1459494,Nova Scotia
12,2021-10-09,1584778,1478338,Nova Scotia
12,2021-10-16,1599044,1494870,Nova Scotia
12,2021-10-23,1611254,1511376,Nova Scotia
12,2021-10-30,1619346,1526336,Nova Scotia
12,2021-11-06,1624222,1536876,Nova Scotia
12,2021-11-13,1628146,1546594,Nova Scotia
12,2021-11-20,1642802,1571184,Nova Scotia
12,2021-11-27,1647180,1580096,Nova Scotia
12,2021-12-04,1667398,1588508,Nova Scotia
12,2021-12-11,1705260,1598430,Nova Scotia
12,2021-12-18,1728790,1603044,Nova Scotia
13,2020-12-26,5212,0,New Brunswick
13,2021-01-02,5772,0,New Brunswick
13,2021-01-09,12482,0,New Brunswick
13,2021-01-16,15836,5130,New Brunswick
13,2021-01-23,23032,5682,New Brunswick
13,2021-01-30,25582,8930,New Brunswick
13,2021-02-06,26500,10826,New Brunswick
13,2021-02-13,27292,14996,New Brunswick
13,2021-02-20,30522,22054,New Brunswick
13,2021-02-27,43352,24264,New Brunswick
13,2021-03-06,52616,24284,New Brunswick
13,2021-03-13,78336,24310,New Brunswick
13,2021-03-20,99220,24328,New Brunswick
13,2021-03-27,160356,24390,New Brunswick
13,2021-04-03,221824,24556,New Brunswick
13,2021-04-10,271598,31554,New Brunswick
13,2021-04-17,365338,37694,New Brunswick
13,2021-04-24,438514,48338,New Brunswick
13,2021-05-01,487972,54448,New Brunswick
13,2021-05-08,555458,60480,New Brunswick
13,2021-05-15,646710,66788,New Brunswick
13,2021-05-22,773730,73724,New Brunswick
13,2021-05-29,864094,81688,New Brunswick
13,2021-06-05,968820,94154,New Brunswick
13,2021-06-12,1020186,152754,New Brunswick
13,2021-06-19,1042356,259454,New Brunswick
13,2021-06-26,1062222,399554,New Brunswick
13,2021-07-03,1075524,548714,New Brunswick
13,2021-07-10,1091560,694016,New Brunswick
13,2021-07-17,1104816,802370,New Brunswick
13,2021-07-24,1119054,889138,New Brunswick
13,2021-07-31,1130022,938990,New Brunswick
13,2021-08-07,1138338,965636,New Brunswick
13,2021-08-14,1145724,989084,New Brunswick
13,2021-08-21,1153920,1007634,New Brunswick
13,2021-08-28,1163400,1039386,New Brunswick
13,2021-09-04,1164132,1041360,New Brunswick
13,2021-09-11,1180646,1068008,New Brunswick
13,2021-09-18,1192136,1080644,New Brunswick
13,2021-09-25,1214910,1099288,New Brunswick
13,2021-10-02,1235748,1119244,New Brunswick
13,2021-10-09,1251572,1132052,New Brunswick
13,2021-10-16,1263124,1145260,New Brunswick
13,2021-10-23,1272376,1164402,New Brunswick
13,2021-10-30,1279084,1182814,New Brunswick
13,2021-11-06,1282786,1194652,New Brunswick
13,2021-11-13,1286122,1204768,New Brunswick
13,2021-11-20,1289828,1216186,New Brunswick
13,2021-11-27,1296462,1225112,New Brunswick
13,2021-12-04,1311744,1230536,New Brunswick
13,2021-12-11,1327020,1234606,New Brunswick
13,2021-12-18,1344152,1231234,New Brunswick
24,2020-12-19,9456,0,Quebec
24,2020-12-26,34432,0,Quebec
24,2021-01-02,56610,0,Quebec
24,2021-01-09,166556,0,Quebec
24,2021-01-16,291566,0,Quebec
24,2021-01-23,437654,0,Quebec
24,2021-01-30,478970,0,Quebec
24,2021-02-06,515002,0,Quebec
24,2021-02-13,587468,0,Quebec
24,2021-02-20,691958,0,Quebec
24,2021-02-27,863486,0,Quebec
24,2021-03-06,1096062,0,Quebec
24,2021-03-13,1428058,0,Quebec
24,2021-03-20,1890764,0,Quebec
24,2021-03-27,2437596,0,Quebec
24,2021-04-03,3048726,0,Quebec
24,2021-04-10,3746758,31634,Quebec
24,2021-04-17,4650520,60466,Quebec
24,2021-04-24,5546414,103460,Quebec
24,2021-05-01,6218910,208742,Quebec
24,2021-05-08,7077232,349834,Quebec
24,2021-05-15,8146476,708930,Quebec
24,2021-05-22,9204370,893902,Quebec
24,2021-05-29,10154272,1116344,Quebec
24,2021-06-05,11058812,1427084,Quebec
24,2021-06-12,11619446,2120128,Quebec
24,2021-06-19,11883800,3127352,Quebec
24,2021-06-26,11992122,4320984,Quebec
24,2021-07-03,12094880,5605756,Quebec
24,2021-07-10,12191422,6921888,Quebec
24,2021-07-17,12295194,8066786,Quebec
24,2021-07-24,12398220,9191168,Quebec
24,2021-07-31,12479614,10032464,Quebec
24,2021-08-07,12569640,10609032,Quebec
24,2021-08-14,12686854,11106342,Quebec
24,2021-08-21,12801802,11580214,Quebec
24,2021-08-28,12918502,11922294,Quebec
24,2021-09-04,13045740,12186182,Quebec
24,2021-09-11,13151140,12387720,Quebec
24,2021-09-18,13254330,12572078,Quebec
24,2021-09-25,13311708,12696628,Quebec
24,2021-10-02,13363910,12808862,Quebec
24,2021-10-09,13417300,12918724,Quebec
24,2021-10-16,13467404,13011288,Quebec
24,2021-10-23,13512792,13085362,Quebec
24,2021-10-30,13543146,13141762,Quebec
24,2021-11-06,13569944,13187168,Quebec
24,2021-11-13,13600492,13235988,Quebec
24,2021-11-20,13630608,13280718,Quebec
24,2021-11-27,13758642,13322472,Quebec
24,2021-12-04,14016054,13360940,Quebec
24,2021-12-11,14236468,13397602,Quebec
24,2021-12-18,14402682,13432156,Quebec
35,2021-01-16,378480,21714,Ontario
35,2021-01-23,498264,62882,Ontario
35,2021-01-30,541590,137698,Ontario
35,2021-02-06,554880,203488,Ontario
35,2021-02-13,585966,349286,Ontario
35,2021-02-20,639830,470106,Ontario
35,2021-02-27,850324,523846,Ontario
35,2021-03-06,1238630,543664,Ontario
35,2021-03-13,1749874,571334,Ontario
35,2021-03-20,2450914,596830,Ontario
35,2021-03-27,3344702,618314,Ontario
35,2021-04-03,4343146,643636,Ontario
35,2021-04-10,5616644,665932,Ontario
35,2021-04-17,6987732,691572,Ontario
35,2021-04-24,8537624,720674,Ontario
35,2021-05-01,9903892,750616,Ontario
35,2021-05-08,11508300,785988,Ontario
35,2021-05-15,13276722,859736,Ontario
35,2021-05-22,15074588,1064206,Ontario
35,2021-05-29,16597738,1379272,Ontario
35,2021-06-05,17926164,2067390,Ontario
35,2021-06-12,18826880,3599550,Ontario
35,2021-06-19,19355442,5755326,Ontario
35,2021-06-26,19729368,8338160,Ontario
35,2021-07-03,20013702,11113150,Ontario
35,2021-07-10,20285408,13718130,Ontario
35,2021-07-17,20538206,15695854,Ontario
35,2021-07-24,20766562,17144202,Ontario
35,2021-07-31,20970130,18075152,Ontario
35,2021-08-07,21107164,18641206,Ontario
35,2021-08-14,21249354,19130254,Ontario
35,2021-08-21,21425110,19512736,Ontario
35,2021-08-28,21594666,19827002,Ontario
35,2021-09-04,21773850,20065572,Ontario
35,2021-09-11,21995924,20344418,Ontario
35,2021-09-18,22177436,20603306,Ontario
35,2021-09-25,22382134,20928172,Ontario
35,2021-10-02,22545882,21207566,Ontario
35,2021-10-09,22692602,21458278,Ontario
35,2021-10-16,22802212,21664572,Ontario
35,2021-10-23,22908818,21865952,Ontario
35,2021-10-30,22994444,22040040,Ontario
35,2021-11-06,23064262,22174376,Ontario
35,2021-11-13,23131498,22300000,Ontario
35,2021-11-20,23197288,22414804,Ontario
35,2021-11-27,23356258,22507706,Ontario
35,2021-12-04,23619834,22514402,Ontario
35,2021-12-11,23888742,22578012,Ontario
35,2021-12-18,24077268,22638554,Ontario
46,2020-12-19,1788,0,Manitoba
46,2020-12-26,4354,0,Manitoba
46,2021-01-02,6864,0,Manitoba
46,2021-01-09,17388,1760,Manitoba
46,2021-01-16,32998,4288,Manitoba
46,2021-01-23,51678,6792,Manitoba
46,2021-01-30,64882,17006,Manitoba
46,2021-02-06,67282,27286,Manitoba
46,2021-02-13,69696,40812,Manitoba
46,2021-02-20,72558,50394,Manitoba
46,2021-02-27,93302,57952,Manitoba
46,2021-03-06,118800,60724,Manitoba
46,2021-03-13,144564,66262,Manitoba
46,2021-03-20,181156,86816,Manitoba
46,2021-03-27,235620,109880,Manitoba
46,2021-04-03,295652,123022,Manitoba
46,2021-04-10,431844,137030,Manitoba
46,2021-04-17,535400,139534,Manitoba
46,2021-04-24,699068,142830,Manitoba
46,2021-05-01,824534,146418,Manitoba
46,2021-05-08,947304,151522,Manitoba
46,2021-05-15,1121066,161766,Manitoba
46,2021-05-22,1286698,173590,Manitoba
46,2021-05-29,1457324,211272,Manitoba
46,2021-06-05,1572196,292692,Manitoba
46,2021-06-12,1650346,401738,Manitoba
46,2021-06-19,1698928,570210,Manitoba
46,2021-06-26,1740060,870538,Manitoba
46,2021-07-03,1788856,1166944,Manitoba
46,2021-07-10,1828636,1352914,Manitoba
46,2021-07-17,1859134,1468672,Manitoba
46,2021-07-24,1886242,1571730,Manitoba
46,2021-07-31,1917798,1699388,Manitoba
46,2021-08-07,1931606,1737186,Manitoba
46,2021-08-14,1943210,1772002,Manitoba
46,2021-08-21,1953772,1799716,Manitoba
46,2021-08-28,1967870,1828698,Manitoba
46,2021-09-04,1991790,1859646,Manitoba
46,2021-09-11,2009688,1880004,Manitoba
46,2021-09-18,2026198,1900066,Manitoba
46,2021-09-25,2037860,1919120,Manitoba
46,2021-10-02,2049404,1940938,Manitoba
46,2021-10-09,2063608,1963050,Manitoba
46,2021-10-16,2076172,1980912,Manitoba
46,2021-10-23,2085644,1995896,Manitoba
46,2021-10-30,2093768,2009236,Manitoba
46,2021-11-06,2100792,2020942,Manitoba
46,2021-11-13,2106292,2029886,Manitoba
46,2021-11-20,2112632,2040178,Manitoba
46,2021-11-27,2133534,2049506,Manitoba
46,2021-12-04,2178140,2057678,Manitoba
46,2021-12-11,2204132,2056374,Manitoba
46,2021-12-18,2227442,2061942,Manitoba
47,2020-12-19,2084,0,Saskatchewan
47,2020-12-26,3538,0,Saskatchewan
47,2021-01-02,7080,0,Saskatchewan
47,2021-01-09,11032,1906,Saskatchewan
47,2021-01-16,28566,3464,Saskatchewan
47,2021-01-23,47326,4916,Saskatchewan
47,2021-01-30,54430,6144,Saskatchewan
47,2021-02-06,59494,10788,Saskatchewan
47,2021-02-13,65734,19090,Saskatchewan
47,2021-02-20,75528,31920,Saskatchewan
47,2021-02-27,92570,46912,Saskatchewan
47,2021-03-06,112986,54744,Saskatchewan
47,2021-03-13,139256,56712,Saskatchewan
47,2021-03-20,202200,61190,Saskatchewan
47,2021-03-27,269118,72584,Saskatchewan
47,2021-04-03,364832,78316,Saskatchewan
47,2021-04-10,499078,82984,Saskatchewan
47,2021-04-17,618738,85756,Saskatchewan
47,2021-04-24,720004,87102,Saskatchewan
47,2021-05-01,813566,89028,Saskatchewan
47,2021-05-08,963444,92760,Saskatchewan
47,2021-05-15,1108400,97514,Saskatchewan
47,2021-05-22,1209274,116260,Saskatchewan
47,2021-05-29,1284600,166320,Saskatchewan
47,2021-06-05,1321882,274038,Saskatchewan
47,2021-06-12,1361566,420304,Saskatchewan
47,2021-06-19,1395872,574072,Saskatchewan
47,2021-06-26,1419698,805276,Saskatchewan
47,2021-07-03,1438230,979568,Saskatchewan
47,2021-07-10,1457676,1115680,Saskatchewan
47,2021-07-17,1472460,1191542,Saskatchewan
47,2021-07-24,1486676,1251202,Saskatchewan
47,2021-07-31,1498468,1295882,Saskatchewan
47,2021-08-07,1506614,1320392,Saskatchewan
47,2021-08-14,1514726,1339938,Saskatchewan
47,2021-08-21,1524928,1357976,Saskatchewan
47,2021-08-28,1536814,1374446,Saskatchewan
47,2021-09-04,1549702,1390432,Saskatchewan
47,2021-09-11,1561008,1403942,Saskatchewan
47,2021-09-18,1581938,1422746,Saskatchewan
47,2021-09-25,1610914,1445240,Saskatchewan
47,2021-10-02,1639122,1469960,Saskatchewan
47,2021-10-09,1668824,1497100,Saskatchewan
47,2021-10-16,1685138,1519018,Saskatchewan
47,2021-10-23,1700412,1547724,Saskatchewan
47,2021-10-30,1712574,1577398,Saskatchewan
47,2021-11-06,1722932,1603062,Saskatchewan
47,2021-11-13,1730790,1621226,Saskatchewan
47,2021-11-20,1738086,1637936,Saskatchewan
47,2021-11-27,1772090,1651462,Saskatchewan
47,2021-12-04,1814652,1661876,Saskatchewan
47,2021-12-11,1831866,1670244,Saskatchewan
47,2021-12-18,1842562,1678996,Saskatchewan
48,2020-12-26,9584,0,Alberta
48,2021-01-02,26766,0,Alberta
48,2021-01-09,88596,1448,Alberta
48,2021-01-16,163718,8150,Alberta
48,2021-01-23,179114,18938,Alberta
48,2021-01-30,180476,31988,Alberta
48,2021-02-06,181336,43358,Alberta
48,2021-02-13,189992,101364,Alberta
48,2021-02-20,206472,132376,Alberta
48,2021-02-27,279922,174814,Alberta
48,2021-03-06,404480,181236,Alberta
48,2021-03-13,576042,183074,Alberta
48,2021-03-20,776910,186050,Alberta
48,2021-03-27,1008814,192262,Alberta
48,2021-04-03,1201188,223972,Alberta
48,2021-04-10,1456584,328714,Alberta
48,2021-04-17,1865760,464652,Alberta
48,2021-04-24,2254740,541280,Alberta
48,2021-05-01,2610864,587444,Alberta
48,2021-05-08,3112800,619858,Alberta
48,2021-05-15,3700144,640548,Alberta
48,2021-05-22,3708764,641832,Alberta
48,2021-05-29,4715666,759840,Alberta
48,2021-06-05,5022472,1039740,Alberta
48,2021-06-12,5178944,1506336,Alberta
48,2021-06-19,5276782,2150106,Alberta
48,2021-06-26,5326988,2584144,Alberta
48,2021-07-03,5435484,3552650,Alberta
48,2021-07-10,5495852,3969440,Alberta
48,2021-07-17,5559882,4479694,Alberta
48,2021-07-24,5607794,4762408,Alberta
48,2021-07-31,5651032,4931100,Alberta
48,2021-08-07,5684268,5023622,Alberta
48,2021-08-14,5717204,5097774,Alberta
48,2021-08-21,5753200,5165210,Alberta
48,2021-08-28,5797718,5233598,Alberta
48,2021-09-04,5850190,5299598,Alberta
48,2021-09-11,5895868,5344010,Alberta
48,2021-09-18,6062396,5450208,Alberta
48,2021-09-25,6178650,5527760,Alberta
48,2021-10-02,6272736,5605024,Alberta
48,2021-10-09,6350272,5687172,Alberta
48,2021-10-16,6406970,5793428,Alberta
48,2021-10-23,6459124,5928740,Alberta
48,2021-10-30,6488502,6011392,Alberta
48,2021-11-06,6517734,6084238,Alberta
48,2021-11-13,6545324,6152304,Alberta
48,2021-11-20,6580716,6223436,Alberta
48,2021-11-27,6702260,6298676,Alberta
48,2021-12-04,6731752,6306258,Alberta
48,2021-12-11,6796890,6335556,Alberta
48,2021-12-18,6846966,6364240,Alberta
59,2020-12-19,7268,0,British Columbia
59,2020-12-26,24894,0,British Columbia
59,2021-01-02,49340,0,British Columbia
59,2021-01-09,120430,70,British Columbia
59,2021-01-16,179430,94,British Columbia
59,2021-01-23,236300,6720,British Columbia
59,2021-01-30,271002,9184,British Columbia
59,2021-02-06,285998,24256,British Columbia
59,2021-02-13,298364,45268,British Columbia
59,2021-02-20,328326,110436,British Columbia
59,2021-02-27,385274,168044,British Columbia
59,2021-03-06,494856,174118,British Columbia
59,2021-03-13,646116,174360,British Columbia
59,2021-03-20,906704,174560,British Columbia
59,2021-03-27,1227670,174878,British Columbia
59,2021-04-03,1614888,175214,British Columbia
59,2021-04-10,2044456,175638,British Columbia
59,2021-04-17,2578740,176476,British Columbia
59,2021-04-24,3086130,178338,British Columbia
59,2021-05-01,3563236,183790,British Columbia
59,2021-05-08,4096240,212552,British Columbia
59,2021-05-15,4785200,260860,British Columbia
59,2021-05-22,5477020,295240,British Columbia
59,2021-05-29,6122770,361168,British Columbia
59,2021-06-05,6614812,631322,British Columbia
59,2021-06-12,6839244,1227742,British Columbia
59,2021-06-19,6951664,1797074,British Columbia
59,2021-06-26,7099832,2639302,British Columbia
59,2021-07-03,7207358,3345670,British Columbia
59,2021-07-10,7301226,4141950,British Columbia
59,2021-07-17,7378166,4883838,British Columbia
59,2021-07-24,7447622,5670608,British Columbia
59,2021-07-31,7514966,6191862,British Columbia
59,2021-08-07,7575664,6498706,British Columbia
59,2021-08-14,7631830,6767104,British Columbia
59,2021-08-21,7683224,6926734,British Columbia
59,2021-08-28,7777858,7062646,British Columbia
59,2021-09-04,7850714,7163082,British Columbia
59,2021-09-11,7923608,7243088,British Columbia
59,2021-09-18,8014402,7336852,British Columbia
59,2021-09-25,8094020,7438262,British Columbia
59,2021-10-02,8141922,7541192,British Columbia
59,2021-10-09,8193656,7627478,British Columbia
59,2021-10-16,8230368,7706374,British Columbia
59,2021-10-23,8269198,7797948,British Columbia
59,2021-10-30,8301506,7883538,British Columbia
59,2021-11-06,8329216,7947092,British Columbia
59,2021-11-13,8351786,7995470,British Columbia
59,2021-11-20,8371088,8038208,British Columbia
59,2021-11-27,8389104,8076918,British Columbia
59,2021-12-04,8463232,8110804,British Columbia
59,2021-12-11,8561410,8129930,British Columbia
59,2021-12-18,8642424,8160452,British Columbia
60,2020-12-19,0,0,Yukon
60,2020-12-26,0,0,Yukon
60,2021-01-02,0,0,Yukon
60,2021-01-09,990,0,Yukon
60,2021-01-16,2618,0,Yukon
60,2021-01-23,7900,0,Yukon
60,2021-01-30,14710,0,Yukon
60,2021-02-06,20894,958,Yukon
60,2021-02-13,21048,1734,Yukon
60,2021-02-20,21226,2180,Yukon
60,2021-02-27,21916,9604,Yukon
60,2021-03-06,29130,17186,Yukon
60,2021-03-13,38354,20724,Yukon
60,2021-03-20,44288,20950,Yukon
60,2021-03-27,46056,21520,Yukon
60,2021-04-03,46828,24272,Yukon
60,2021-04-10,47744,33552,Yukon
60,2021-04-17,48634,40198,Yukon
60,2021-04-24,49634,43054,Yukon
60,2021-05-01,50384,44668,Yukon
60,2021-05-08,51462,45634,Yukon
60,2021-05-15,52484,46472,Yukon
60,2021-05-22,53296,47428,Yukon
60,2021-05-29,53904,48274,Yukon
60,2021-06-05,54398,49008,Yukon
60,2021-06-12,54940,49972,Yukon
60,2021-06-19,56130,51292,Yukon
60,2021-06-26,60596,53158,Yukon
60,2021-07-03,61340,54600,Yukon
60,2021-07-10,62124,56220,Yukon
60,2021-07-17,62612,57368,Yukon
60,2021-07-24,63004,58338,Yukon
60,2021-07-31,63460,58946,Yukon
60,2021-08-07,63878,59686,Yukon
60,2021-08-14,64102,60166,Yukon
60,2021-08-21,64328,60626,Yukon
60,2021-08-28,64622,61110,Yukon
60,2021-09-04,64836,61446,Yukon
60,2021-09-11,65034,61760,Yukon
60,2021-09-18,65212,62088,Yukon
60,2021-09-25,65230,62212,Yukon
60,2021-10-02,65102,62190,Yukon
60,2021-10-09,64912,62060,Yukon
60,2021-10-16,64968,62154,Yukon
60,2021-10-23,65254,62382,Yukon
60,2021-10-30,65496,62522,Yukon
60,2021-11-06,66710,63650,Yukon
60,2021-11-13,66886,63788,Yukon
60,2021-11-20,67208,64156,Yukon
60,2021-11-27,67574,64504,Yukon
60,2021-12-04,67890,64946,Yukon
60,2021-12-11,68998,64914,Yukon
60,2021-12-18,70492,65034,Yukon
61,2020-12-19,0,0,Northwest Territories
61,2020-12-26,0,0,Northwest Territories
61,2021-01-02,244,0,Northwest Territories
61,2021-01-09,1022,0,Northwest Territories
61,2021-01-16,3782,0,Northwest Territories
61,2021-01-23,18942,0,Northwest Territories
61,2021-01-30,24466,236,Northwest Territories
61,2021-02-06,25660,598,Northwest Territories
61,2021-02-13,27150,1158,Northwest Territories
61,2021-02-20,29034,3868,Northwest Territories
61,2021-02-27,30428,9116,Northwest Territories
61,2021-03-06,34106,22298,Northwest Territories
61,2021-03-13,39360,24774,Northwest Territories
61,2021-03-20,44214,26562,Northwest Territories
61,2021-03-27,47430,27862,Northwest Territories
61,2021-04-03,48194,28938,Northwest Territories
61,2021-04-10,49480,32938,Northwest Territories
61,2021-04-17,50738,38538,Northwest Territories
61,2021-04-24,51702,41882,Northwest Territories
61,2021-05-01,52654,43344,Northwest Territories
61,2021-05-08,54606,44998,Northwest Territories
61,2021-05-15,56706,45912,Northwest Territories
61,2021-05-22,57766,46672,Northwest Territories
61,2021-05-29,59124,47810,Northwest Territories
61,2021-06-05,51294,42704,Northwest Territories
61,2021-06-12,52134,45074,Northwest Territories
61,2021-06-19,53060,46558,Northwest Territories
61,2021-06-26,53758,47514,Northwest Territories
61,2021-07-03,54276,48380,Northwest Territories
61,2021-07-10,54728,49206,Northwest Territories
61,2021-07-17,55218,50146,Northwest Territories
61,2021-07-24,55606,51030,Northwest Territories
61,2021-07-31,55946,51772,Northwest Territories
61,2021-08-07,56292,52334,Northwest Territories
61,2021-08-14,56746,53144,Northwest Territories
61,2021-08-21,57576,53754,Northwest Territories
61,2021-08-28,58332,54372,Northwest Territories
