Code,Census subdivision,Type
2414080Saint-Onésime-d'Ixworth,Saint-Onésime-d'Ixworth,Municipalité
2419005Saint-Philémon,Saint-Philémon,Paroisse (municipalité de)
2491035Saint-Prime,Saint-Prime,Municipalité
1314021Saint-Quentin,Saint-Quentin,Parish
2430100Saint-Romain,Saint-Romain,Municipalité
2407070Saint-Tharcisius,Saint-Tharcisius,Paroisse (municipalité de)
2434090Saint-Ubalde,Saint-Ubalde,Municipalité
4608069Sandy Bay 5,Sandy Bay 5,Indian reserve
4706063Sarnia No. 221,Sarnia No. 221,Rural municipality
3541057Saugeen 29,Saugeen 29,Indian reserve
2497040Schefferville,Schefferville,Ville
3558051Schreiber,Schreiber,Township
5929803Sechelt (Part),Sechelt (Part),Indian government district
3559066Seine River 23A,Seine River 23A,Indian reserve
4707011Shamrock No. 134,Shamrock No. 134,Rural municipality
3551042Sheguiandah 24,Sheguiandah 24,Indian reserve
1201006Shelburne,Shelburne,Municipal district
1201008Shelburne,Shelburne,Town
1315029Shippagan,Shippagan,Parish
1315031Shippagan,Shippagan,Town
3560068Shoal Lake (Part) 39A,Shoal Lake (Part) 39A,Indian reserve
4714839Shoal Lake 28A,Shoal Lake 28A,Indian reserve
4705011Silverwood No. 123,Silverwood No. 123,Rural municipality
1311021Simonds,Simonds,Parish
3560034Sioux Lookout,Sioux Lookout,Municipality
3560008Sioux Narrows-Nestor Falls,Sioux Narrows-Nestor Falls,Township
5947804Skidegate 1,Skidegate 1,Indian reserve
4817029Slave Lake,Slave Lake,Town
5903019Slocan,Slocan,Village
5951043Smithers,Smithers,Town
4819041Smoky River No. 130,Smoky River No. 130,Municipal district
4702006Souris Valley No. 7,Souris Valley No. 7,Rural municipality
1008059South Brook,South Brook,Town
3541004South Bruce,South Bruce,Municipality
4718822Southend 200,Southend 200,Indian reserve
4714028Spalding,Spalding,Village
4714026Spalding No. 368,Spalding No. 368,Rural municipality
5901006Sparwood,Sparwood,District municipality
4804004Special Area No. 2,Special Area No. 2,Special area
4804012Special Area No. 3,Special Area No. 3,Special area
4716056Spiritwood No. 496,Spiritwood No. 496,Rural municipality
4622063Split Lake (Part) 171,Split Lake (Part) 171,Indian reserve
4705043Spy Hill,Spy Hill,Village
5931017Squamish-Lillooet C,Squamish-Lillooet C,Regional district electoral area
1003019St. Alban's,St. Alban's,Town
4712004St. Andrews No. 287,St. Andrews No. 287,Rural municipality
1009029St. Anthony,St. Anthony,Town
1003003St. Jacques-Coomb's Cove,St. Jacques-Coomb's Cove,Town
4812018St. Paul,St. Paul,Town
4812014St. Paul County No. 19,St. Paul County No. 19,Municipal district
4715001St. Peter No. 369,St. Peter No. 369,Rural municipality
4709042St. Philips No. 301,St. Philips No. 301,Rural municipality
1302037St. Stephen,St. Stephen,Town
4622801St. Theresa Point,St. Theresa Point,Indian reserve
4718803Stanley 157,Stanley 157,Indian reserve
4714049Star City,Star City,Town
4805031Starland County,Starland County,Municipal district
4617041Ste. Rose,Ste. Rose,Municipality
4807026Stettler,Stettler,Town
4807019Stettler County No. 6,Stettler County No. 6,Municipal district
5949032Stewart,Stewart,District municipality
4703038Stonehenge No. 73,Stonehenge No. 73,Rural municipality
5951809Stony Creek 1,Stony Creek 1,Indian reserve
4718100Stony Rapids,Stony Rapids,Northern hamlet
4818816Sturgeon Lake 154,Sturgeon Lake 154,Indian reserve
4817829Sucker Creek 150A,Sucker Creek 150A,Indian reserve
3551041Sucker Creek 23,Sucker Creek 23,Indian reserve
4703074Sutton No. 103,Sutton No. 103,Rural municipality
4817024Swan Hills,Swan Hills,Town
4620048Swan River,Swan River,Town
4620042Swan Valley West,Swan Valley West,Municipality
5951810Tache 1,Tache 1,Indian reserve
2487042Taschereau,Taschereau,Municipalité
4701063Tecumseh No. 65,Tecumseh No. 65,Rural municipality
5951038Telkwa,Telkwa,Village
3554020Temiskaming Shores,Temiskaming Shores,City
4621045The Pas,The Pas,Town
5933032Thompson-Nicola E (Bonaparte Plateau),Thompson-Nicola E (Bonaparte Plateau),Regional district electoral area
5933008Thompson-Nicola M (Beautiful Nicola Valley - North),Thompson-Nicola M (Beautiful Nicola Valley - North),Regional district electoral area
4805048Three Hills,Three Hills,Town
2485806Timiskaming,Timiskaming,Indian reserve
4714044Tisdale,Tisdale,Town
4714043Tisdale No. 427,Tisdale No. 427,Rural municipality
1312007Tobique 20,Tobique 20,Indian reserve
5923025Tofino,Tofino,District municipality
2417035Tourville,Tourville,Municipalité
5905014Trail,Trail,City
4713059Tramping Lake No. 380,Tramping Lake No. 380,Rural municipality
1008054Triton,Triton,Town
4805049Trochu,Trochu,Town
5943806Tsulquate 4,Tsulquate 4,Indian reserve
4605056Two Borders,Two Borders,Municipality
4810052Two Hills,Two Hills,Town
4810048Two Hills County No. 21,Two Hills County No. 21,Municipal district
4713074Unity,Unity,Town
5953007Valemount,Valemount,Village
4616046Valley River 63A,Valley River 63A,Indian reserve
4818018Valleyview,Valleyview,Town
5951007Vanderhoof,Vanderhoof,District municipality
"1218006Victoria, Subd. A","Victoria, Subd. A",Subdivision of county municipality
4707063Victory No. 226,Victory No. 226,Rural municipality
2485025Ville-Marie,Ville-Marie,Ville
4606034Virden,Virden,Town
4711091Viscount No. 341,Viscount No. 341,Rural municipality
4817819Wabasca 166A,Wabasca 166A,Indian reserve
4817823Wabasca 166D,Wabasca 166D,Indian reserve
3560057Wabigoon Lake 27,Wabigoon Lake 27,Indian reserve
1010034Wabush,Wabush,Town
1218003Wagmatcook 1,Wagmatcook 1,Indian reserve
4807054Wainwright,Wainwright,Town
4807049Wainwright No. 61,Wainwright No. 61,Municipal district
1311014Wakefield,Wakefield,Parish
4606031Wallace-Woodworth,Wallace-Woodworth,Rural municipality
4706820Wa-Pii Moos-Toosis (White Calf) 83A,Wa-Pii Moos-Toosis (White Calf) 83A,Indian reserve
5905018Warfield,Warfield,Village
4622800Wasagamack,Wasagamack,Indian reserve
2499806Waskaganish,Waskaganish,Terres réservées aux Cris
1305024Waterford,Waterford,Parish
4717806Waterhen 130,Waterhen 130,Indian reserve
4710062Watson,Watson,Town
4703022Waverley No. 44,Waverley No. 44,Rural municipality
4616017Waywayseecappo First Nation,Waywayseecappo First Nation,Indian reserve
2499812Wemindji,Wemindji,Terres réservées aux Cris
4618056West Interlake,West Interlake,Municipality
4608060WestLake-Gladstone,WestLake-Gladstone,Municipality
2499816Whapmagoostui,Whapmagoostui,Terres réservées aux Cris
4703059Whiska Creek No. 106,Whiska Creek No. 106,Rural municipality
4701808White Bear 70,White Bear 70,Indian reserve
4813030Whitecourt,Whitecourt,Town
3560004Whitefish Bay 32A,Whitefish Bay 32A,Indian reserve
3551040Whitefish River (Part) 4,Whitefish River (Part) 4,Indian reserve
4705034Whitewood,Whitewood,Town
1215008Whycocomagh 2,Whycocomagh 2,Indian reserve
1311031Wicklow,Wicklow,Parish
3551043Wikwemikong Unceded,Wikwemikong Unceded,Indian reserve
4703028Willow Bunch,Willow Bunch,Town
4703026Willow Bunch No. 42,Willow Bunch No. 42,Rural municipality
4714053Willow Creek No. 458,Willow Creek No. 458,Rural municipality
4705033Willowdale No. 153,Willowdale No. 153,Rural municipality
1311018Wilmot,Wilmot,Parish
1311004Woodstock,Woodstock,Parish
1311006Woodstock,Woodstock,Town
1311005Woodstock 23,Woodstock 23,Indian reserve
4710047Wynyard,Wynyard,Town
1202004Yarmouth,Yarmouth,Municipal district
1202006Yarmouth,Yarmouth,Town
4615063Yellowhead,Yellowhead,Rural municipality
4814003Yellowhead County,Yellowhead County,Municipal district
4714841Yellowquill 90,Yellowquill 90,Indian reserve
4714061Zenon Park,Zenon Park,Village
